customer_id,age,state,employment_type,segment,monthly_income,credit_score,years_with_bank,existing_loans,onboarding_year
CUST000154,41,Karnataka,Salaried,Retail,164369,831,4,3,2013
CUST000155,51,Karnataka,Freelancer,Corporate,22012,697,19,1,2019
CUST000156,32,UP,Government,Mass,64544,702,17,4,2020
CUST000157,49,Gujarat,Salaried,Retail,36010,629,19,0,2009
CUST000158,46,West Bengal,Salaried,Retail,201200,674,9,4,2008
CUST000159,60,Gujarat,Salaried,Corporate,18264,650,15,0,2015
CUST000160,54,Telangana,Salaried,Corporate,43906,734,15,4,2016
CUST000161,22,Rajasthan,Salaried,Premium,187867,752,15,0,2018
CUST000162,48,Rajasthan,Self-Employed,Corporate,244841,653,12,0,2013
CUST000163,34,Delhi,Salaried,SME,28766,584,12,4,2014
CUST000164,62,UP,Salaried,SME,213354,900,4,4,2014
CUST000165,24,Punjab,Business Owner,Premium,193355,825,4,4,2016
CUST000166,60,Telangana,Salaried,Retail,52846,464,10,0,2019
CUST000167,27,West Bengal,Self-Employed,Retail,213683,644,3,3,2006
CUST000168,29,Karnataka,Salaried,Retail,148084,623,5,3,2005
CUST000169,48,Tamil Nadu,Self-Employed,SME,132253,703,19,2,2023
CUST000170,30,Telangana,Freelancer,SME,38851,755,8,4,2012
CUST000171,58,West Bengal,Self-Employed,Retail,204210,819,14,2,2010
CUST000172,54,Telangana,Self-Employed,Retail,99335,524,2,3,2014
CUST000173,63,Gujarat,Salaried,Corporate,197829,777,4,0,2017
CUST000174,45,Delhi,Salaried,Premium,132078,663,8,3,2021
CUST000175,36,West Bengal,Salaried,Retail,84021,808,7,0,2016
CUST000176,53,Gujarat,Freelancer,SME,107204,714,11,0,2008
CUST000177,53,UP,Self-Employed,Retail,169108,708,7,4,2008
CUST000178,45,Tamil Nadu,Salaried,Corporate,189905,637,18,2,2009
CUST000179,62,Punjab,Self-Employed,Retail,246997,846,19,3,2006
CUST000180,33,Delhi,Self-Employed,Retail,23757,614,1,2,2005
CUST000181,60,West Bengal,Freelancer,SME,84399,679,7,2,2023
CUST000182,23,West Bengal,Salaried,Retail,102519,771,1,0,2018
CUST000183,24,Maharashtra,Freelancer,Premium,231138,661,5,1,2014
CUST000184,58,Gujarat,Self-Employed,Premium,213045,765,0,0,2010
CUST000185,38,Karnataka,Salaried,SME,20754,432,19,0,2006
CUST000186,23,UP,Salaried,SME,117105,630,3,4,2009
CUST000187,23,UP,Salaried,Retail,124903,729,18,2,2011
CUST000188,49,West Bengal,Salaried,Retail,170370,595,18,4,2005
CUST000189,44,UP,Self-Employed,Retail,148560,803,3,1,2008
CUST000190,58,Delhi,Salaried,Retail,197452,695,1,4,2015
CUST000191,53,Punjab,Salaried,Retail,224533,663,12,3,2015
CUST000192,54,Rajasthan,Salaried,Corporate,79965,707,18,2,2011
CUST000193,22,Punjab,Self-Employed,Corporate,112624,593,4,4,2006
CUST000194,40,Punjab,Business Owner,SME,54123,763,11,1,2008
CUST000195,23,Punjab,Business Owner,Retail,168737,586,13,3,2010
CUST000196,47,Maharashtra,Freelancer,Premium,127358,789,19,2,2013
CUST000197,53,Karnataka,Self-Employed,SME,215813,722,14,3,2023
CUST000198,27,Rajasthan,Self-Employed,SME,196632,725,3,4,2007
CUST000199,53,Rajasthan,Salaried,Retail,73667,575,15,4,2006
CUST000200,25,Punjab,Business Owner,Retail,38610,452,13,4,2013
CUST000201,32,Rajasthan,Salaried,Retail,128299,607,6,3,2005
CUST000202,38,West Bengal,Salaried,Corporate,99811,564,7,3,2014
CUST000203,59,Delhi,Business Owner,Retail,165203,568,4,0,2021
CUST000204,45,Karnataka,Business Owner,Retail,87575,672,14,4,2007
CUST000205,26,UP,Salaried,SME,145219,825,2,1,2023
CUST000206,55,Delhi,Salaried,SME,37159,854,19,3,2005
CUST000207,27,West Bengal,Salaried,Retail,220646,506,7,2,2021
CUST000208,43,Maharashtra,Freelancer,Mass,42837,690,15,0,2013
CUST000209,32,Karnataka,Salaried,Retail,177265,841,13,3,2008
CUST000210,37,Maharashtra,Government,Corporate,183119,643,9,0,2021
CUST000211,54,Telangana,Government,Mass,147042,744,1,2,2008
CUST000212,30,Tamil Nadu,Business Owner,SME,51482,781,10,0,2016
CUST000213,27,Maharashtra,Business Owner,Retail,24601,542,13,4,2019
CUST000214,37,Gujarat,Government,SME,166723,592,19,3,2005
CUST000215,50,Tamil Nadu,Salaried,Retail,39188,638,14,1,2009
CUST000216,24,Punjab,Salaried,Retail,105706,793,3,3,2021
CUST000217,41,Punjab,Business Owner,Retail,214519,766,1,0,2005
CUST000218,57,Delhi,Salaried,Retail,100078,609,18,3,2019
CUST000219,40,West Bengal,Salaried,Retail,207427,786,8,4,2023
CUST000220,47,Rajasthan,Salaried,Premium,169135,775,18,0,2013
CUST000221,24,Tamil Nadu,Salaried,Retail,48804,701,10,4,2014
CUST000222,40,UP,Salaried,Retail,192152,769,12,3,2021
CUST000223,41,Karnataka,Salaried,Retail,237246,775,7,4,2014
CUST000224,53,Telangana,Salaried,SME,52252,636,11,4,2021
CUST000225,28,West Bengal,Self-Employed,Corporate,47756,612,17,2,2006
CUST000226,62,West Bengal,Government,Mass,160514,718,12,4,2022
CUST000227,54,Telangana,Salaried,SME,86820,743,6,4,2022
CUST000228,61,UP,Salaried,Retail,154236,783,8,2,2014
CUST000229,60,Maharashtra,Salaried,SME,222623,795,5,2,2020
CUST000230,39,UP,Government,Retail,76618,773,11,0,2013
CUST000231,61,UP,Salaried,Corporate,72264,736,2,1,2007
CUST000232,22,Tamil Nadu,Salaried,Retail,52551,539,4,2,2011
CUST000233,32,Gujarat,Salaried,Mass,25023,616,11,1,2009
CUST000234,49,Karnataka,Self-Employed,Corporate,243893,664,13,0,2020
CUST000235,46,West Bengal,Salaried,SME,229699,636,9,1,2012
CUST000236,44,Delhi,Business Owner,Retail,47731,772,0,3,2023
CUST000237,52,Rajasthan,Self-Employed,Retail,174196,539,19,2,2021
CUST000238,51,UP,Self-Employed,Retail,48844,756,12,0,2007
CUST000239,63,Telangana,Salaried,SME,233787,550,16,1,2018
CUST000240,56,UP,Self-Employed,SME,100075,605,7,1,2017
CUST000241,28,Telangana,Self-Employed,Retail,164572,629,3,1,2010
CUST000242,37,Karnataka,Salaried,Corporate,198238,573,1,2,2009
CUST000243,47,Punjab,Business Owner,Retail,132533,627,12,4,2023
CUST000244,23,Karnataka,Salaried,Retail,167741,585,1,4,2019
CUST000245,22,Delhi,Business Owner,Corporate,47902,577,9,2,2013
CUST000246,33,Gujarat,Salaried,SME,160482,788,10,2,2017
CUST000247,26,Tamil Nadu,Self-Employed,Retail,164242,627,15,3,2010
CUST000248,58,Telangana,Salaried,Corporate,23394,679,2,0,2008
CUST000249,53,Gujarat,Salaried,Retail,20843,652,12,0,2015
CUST000250,30,Telangana,Freelancer,Retail,150456,631,10,3,2006
CUST000251,62,Tamil Nadu,Salaried,Corporate,114139,681,11,4,2023
CUST000252,56,Karnataka,Self-Employed,SME,216010,667,1,2,2022
CUST000253,40,Maharashtra,Freelancer,Premium,104481,482,0,0,2020
CUST000254,37,Gujarat,Salaried,Retail,243261,839,13,0,2005
CUST000255,24,Telangana,Self-Employed,Premium,235071,633,3,0,2020
CUST000256,41,Gujarat,Salaried,SME,92314,795,13,2,2015
CUST000257,45,Gujarat,Salaried,Retail,35631,609,6,4,2008
CUST000258,54,Telangana,Salaried,Retail,102169,572,14,0,2006
CUST000259,45,Tamil Nadu,Business Owner,Retail,230062,707,17,4,2020
CUST000260,32,Tamil Nadu,Salaried,SME,239818,691,2,4,2020
CUST000261,29,Rajasthan,Salaried,Retail,107986,730,4,1,2005
CUST000262,57,Rajasthan,Self-Employed,Retail,39617,692,6,4,2011
CUST000263,59,Karnataka,Salaried,SME,129066,643,17,4,2010
CUST000264,61,West Bengal,Government,SME,64433,629,7,3,2021
CUST000265,41,Gujarat,Self-Employed,SME,220137,666,10,0,2008
CUST000266,56,Gujarat,Government,Retail,33559,871,6,3,2010
CUST000267,46,Karnataka,Salaried,Retail,245315,554,17,4,2019
CUST000268,56,Delhi,Salaried,Retail,146887,561,18,2,2006
CUST000269,46,Karnataka,Salaried,Retail,46816,763,10,4,2012
CUST000270,50,West Bengal,Freelancer,Retail,249855,626,17,2,2019
CUST000271,39,Karnataka,Self-Employed,Corporate,120891,623,13,4,2008
CUST000272,39,Delhi,Freelancer,Mass,247200,660,17,0,2011
CUST000273,23,Tamil Nadu,Salaried,Mass,168696,678,17,3,2012
CUST000274,56,Gujarat,Self-Employed,Retail,134293,572,19,2,2007
CUST000275,37,West Bengal,Self-Employed,Corporate,17442,684,5,4,2006
CUST000276,62,Maharashtra,Self-Employed,Retail,171137,674,2,2,2015
CUST000277,57,Rajasthan,Salaried,Retail,53056,714,10,4,2016
CUST000278,54,Punjab,Self-Employed,SME,78549,749,9,4,2020
CUST000279,25,Karnataka,Self-Employed,SME,162543,575,4,2,2005
CUST000280,54,Telangana,Salaried,SME,199727,606,4,0,2007
CUST000281,35,Tamil Nadu,Salaried,Retail,89783,828,7,2,2015
CUST000282,42,Gujarat,Salaried,Retail,133816,539,3,1,2008
CUST000283,41,Punjab,Self-Employed,Mass,138344,722,12,2,2018
CUST000284,29,Telangana,Self-Employed,Premium,75505,650,19,3,2018
CUST000285,28,Delhi,Salaried,Retail,249156,489,10,2,2018
CUST000286,24,Karnataka,Salaried,Corporate,223800,652,5,1,2007
CUST000287,38,Rajasthan,Salaried,Retail,201369,640,5,1,2013
CUST000288,54,Rajasthan,Salaried,SME,90969,509,11,3,2015
CUST000289,33,Maharashtra,Self-Employed,Retail,120165,578,9,0,2007
CUST000290,43,Punjab,Business Owner,Corporate,207788,701,5,3,2009
CUST000291,43,Rajasthan,Freelancer,Retail,175086,641,16,2,2007
CUST000292,51,Delhi,Government,Corporate,176891,765,7,2,2009
CUST000293,59,Punjab,Salaried,Retail,83416,900,4,4,2005
CUST000294,59,Punjab,Salaried,Retail,187319,650,10,1,2015
CUST000295,29,Rajasthan,Business Owner,Retail,201268,607,9,4,2006
CUST000296,48,Punjab,Self-Employed,Mass,96476,707,3,3,2014
CUST000297,48,Gujarat,Salaried,Premium,105019,659,9,3,2005
CUST000298,55,Maharashtra,Self-Employed,SME,137776,665,12,1,2009
CUST000299,42,Rajasthan,Salaried,Retail,173229,750,10,2,2014
CUST000300,51,Gujarat,Government,Retail,35548,767,3,4,2011
CUST000301,54,Maharashtra,Freelancer,Corporate,84372,768,16,3,2022
CUST000302,49,Tamil Nadu,Salaried,Retail,246859,616,7,2,2022
CUST000303,54,Maharashtra,Salaried,SME,202124,724,13,4,2013
CUST000304,26,UP,Salaried,SME,224986,479,19,3,2017
CUST000305,40,Punjab,Salaried,Retail,238511,775,12,0,2012
CUST000306,25,Delhi,Salaried,Corporate,216208,567,19,3,2005
CUST000307,56,Rajasthan,Government,Mass,215672,726,9,1,2021
CUST000308,38,Tamil Nadu,Business Owner,Retail,25587,747,1,4,2010
CUST000309,49,UP,Self-Employed,Premium,141638,666,13,4,2016
CUST000310,51,Delhi,Business Owner,SME,116716,731,3,2,2014
CUST000311,50,Karnataka,Salaried,Retail,110183,701,18,4,2019
CUST000312,27,Delhi,Business Owner,SME,201634,661,18,2,2017
CUST000313,56,Punjab,Self-Employed,Mass,143901,677,2,3,2019
CUST000314,62,Gujarat,Business Owner,Mass,109898,704,3,4,2014
CUST000315,58,Maharashtra,Salaried,Corporate,172650,625,6,2,2021
CUST000316,45,Karnataka,Business Owner,SME,218365,600,2,1,2006
CUST000317,50,Maharashtra,Freelancer,Retail,199892,579,2,1,2021
CUST000318,52,Punjab,Self-Employed,SME,125071,663,8,4,2016
CUST000319,56,Rajasthan,Salaried,SME,244969,820,8,3,2007
CUST000320,54,Tamil Nadu,Government,Retail,246595,601,3,0,2021
CUST000321,42,Karnataka,Salaried,Retail,61089,814,18,4,2022
CUST000322,53,Rajasthan,Salaried,Retail,214414,689,19,0,2013
CUST000323,44,UP,Salaried,Premium,76899,572,19,2,2020
CUST000324,54,Rajasthan,Self-Employed,SME,105352,558,5,0,2013
CUST000325,24,Telangana,Business Owner,Retail,213176,822,0,3,2023
CUST000326,39,Karnataka,Business Owner,Retail,77655,739,16,4,2007
CUST000327,46,Rajasthan,Salaried,Retail,81318,596,17,1,2019
CUST000328,63,Gujarat,Government,Retail,25236,571,4,2,2011
CUST000329,52,Gujarat,Salaried,SME,171619,719,6,3,2013
CUST000330,24,UP,Government,Retail,48969,628,14,4,2005
CUST000331,61,Maharashtra,Freelancer,Mass,246032,579,16,4,2007
CUST000332,45,West Bengal,Salaried,Corporate,77724,732,0,0,2014
CUST000333,53,Rajasthan,Salaried,Corporate,45592,675,14,3,2020
CUST000334,43,Punjab,Salaried,Corporate,232893,570,1,1,2011
CUST000335,44,Karnataka,Self-Employed,SME,165113,648,18,2,2022
CUST000336,23,Rajasthan,Business Owner,Retail,44195,770,5,4,2020
CUST000337,48,Maharashtra,Salaried,SME,228277,565,1,1,2005
CUST000338,63,Rajasthan,Salaried,Retail,90530,733,14,0,2016
CUST000339,23,West Bengal,Self-Employed,Retail,125664,638,14,1,2018
CUST000340,47,Tamil Nadu,Salaried,Retail,91843,679,5,0,2010
CUST000341,38,West Bengal,Self-Employed,Retail,191301,654,19,2,2011
CUST000342,61,Punjab,Self-Employed,Corporate,41182,707,2,0,2014
CUST000343,54,West Bengal,Salaried,Retail,203083,595,16,0,2007
CUST000344,30,Punjab,Business Owner,Retail,189105,755,5,0,2018
CUST000345,64,Maharashtra,Business Owner,Mass,16306,634,0,4,2018
CUST000346,60,Karnataka,Self-Employed,Retail,177784,761,1,3,2012
CUST000347,50,West Bengal,Salaried,SME,33726,701,1,2,2017
CUST000348,63,Gujarat,Salaried,SME,130076,721,12,0,2016
CUST000349,47,UP,Self-Employed,SME,229500,615,13,1,2005
CUST000350,56,West Bengal,Salaried,Retail,166240,597,16,4,2023
CUST000351,46,Karnataka,Business Owner,Premium,184723,605,8,3,2022
CUST000352,45,Maharashtra,Salaried,SME,229749,625,8,2,2006
CUST000353,34,Gujarat,Salaried,SME,133307,731,2,4,2023
CUST000354,28,Punjab,Salaried,Mass,130200,678,6,4,2015
CUST000355,57,Gujarat,Salaried,Retail,196299,796,0,2,2007
CUST000356,41,West Bengal,Salaried,SME,52639,536,12,2,2007
CUST000357,22,Maharashtra,Salaried,Corporate,43416,695,11,0,2023
CUST000358,29,Punjab,Self-Employed,Corporate,243614,582,18,2,2008
CUST000359,37,Delhi,Salaried,Retail,24125,652,12,3,2015
CUST000360,35,Telangana,Salaried,Corporate,48082,645,17,3,2007
CUST000361,33,Rajasthan,Salaried,Mass,135635,740,7,2,2017
CUST000362,44,Tamil Nadu,Self-Employed,Corporate,238554,549,4,3,2009
CUST000363,36,Karnataka,Business Owner,SME,212097,694,13,1,2019
CUST000364,49,Karnataka,Business Owner,Premium,129044,671,17,3,2009
CUST000365,55,Karnataka,Self-Employed,Premium,218015,679,11,2,2014
CUST000366,23,Delhi,Self-Employed,Corporate,129721,624,1,1,2005
CUST000367,53,Maharashtra,Freelancer,Corporate,235839,579,9,3,2012
CUST000368,44,Gujarat,Salaried,Retail,165313,550,18,4,2012
CUST000369,43,Punjab,Salaried,Retail,211347,659,2,4,2014
CUST000370,46,Gujarat,Salaried,SME,198413,604,11,4,2013
CUST000371,43,Gujarat,Self-Employed,Retail,41015,760,5,4,2005
CUST000372,43,Tamil Nadu,Salaried,Premium,79493,781,2,0,2023
CUST000373,63,Karnataka,Salaried,Mass,223836,670,11,1,2014
CUST000374,27,Karnataka,Salaried,Retail,62706,761,13,4,2013
CUST000375,36,Delhi,Self-Employed,SME,198820,532,17,4,2021
CUST000376,64,Gujarat,Salaried,Retail,19457,510,8,3,2023
CUST000377,58,Tamil Nadu,Freelancer,SME,104460,635,18,2,2014
CUST000378,54,Telangana,Salaried,SME,186702,845,17,1,2009
CUST000379,29,Delhi,Business Owner,Retail,80395,580,18,2,2015
CUST000380,26,Delhi,Salaried,Premium,188707,710,14,3,2014
CUST000381,60,Rajasthan,Freelancer,Premium,119393,748,6,3,2023
CUST000382,25,Telangana,Business Owner,SME,128408,580,18,3,2010
CUST000383,27,Karnataka,Salaried,SME,248044,799,1,2,2011
CUST000384,53,Gujarat,Salaried,Retail,162334,625,14,2,2005
CUST000385,51,Karnataka,Self-Employed,Retail,46625,773,16,1,2007
CUST000386,56,Delhi,Salaried,Corporate,233576,662,10,4,2012
CUST000387,61,Karnataka,Government,Mass,20373,780,2,1,2007
CUST000388,37,Maharashtra,Salaried,Mass,72508,708,9,4,2008
CUST000389,34,West Bengal,Salaried,Retail,172103,648,17,3,2009
CUST000390,63,Telangana,Salaried,SME,193112,749,15,3,2021
CUST000391,51,Gujarat,Salaried,Retail,238145,815,17,0,2014
CUST000392,40,Telangana,Self-Employed,Premium,185764,615,16,3,2005
CUST000393,38,Rajasthan,Self-Employed,Corporate,101166,687,14,1,2012
